USGS Gauge Number,USGS Gauge Station Name
01645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA"
01645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA"
01646000,"DIFFICULT RUN NEAR GREAT FALLS, VA"
01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA"
02085000,"ENO RIVER AT HILLSBOROUGH, NC"
02085500,"FLAT RIVER AT BAHAMA, NC"
02086849,"ELLERBE CREEK NEAR GORMAN, NC"
02087580,"SWIFT CREEK NEAR APEX, NC"
02088000,"MIDDLE CREEK NEAR CLAYTON, NC"
02093800,"REEDY FORK NEAR OAK RIDGE, NC"
02094659,"SOUTH BUFFALO CREEK NR POMONA, NC"
02095181,"N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC"
02097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC"
02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC"
02146110,"MANCHESTER CREEK AT ROCK HILL, SC"
02146409,"LTL SUGAR CR AT MEDICAL CENTER DR AT CHARLOTTE, NC"
02146470,"LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC"
02146562,"CAMPBELL CREEK NR CHARLOTTE, NC"
02146700,"MCMULLEN CR AT SHARON VIEW RD NEAR CHARLOTTE, NC"
02160326,"ENOREE RIVER AT PELHAM, SC"
02160381,"DURBIN CREEK ABOVE FOUNTAIN INN, SC"
02164000,"REEDY RIVER NEAR GREENVILLE, SC"
02165200,"SOUTH RABON CREEK NEAR GRAY COURT, SC"
02186000,"TWELVEMILE CREEK NEAR LIBERTY, SC"
02203831,"DOOLITTLE CREEK AT FLAT SHOALS RD, NR DECATUR, GA"
02203863,"SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA"
02204037,"POLE BRIDGE CR AT EVANS MILL RD NEAR LITHONIA, GA"
02204130,"HONEY CREEK AT GA 212, NEAR CONYERS, GA"
02207435,LITTLE HAYNES CREEK AT DIAL MILL RD NR MILSTEAD GA
02335580,"BIG CREEK AT GA 9, NEAR CUMMING, GA"
02335870,"SOPE CREEK NEAR MARIETTA, GA"
02335910,"ROTTENWOOD CR AT INTERSTATE N PKWY, NR SMYRNA, GA"
02336120,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA"
02336152,"SOUTH FORK PEACHTREE AT CASA DR, NR CLARKSTON, GA"
02336410,"NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA"
02336526,"PROCTOR CREEK AT JACKSON PARKWAY, AT ATLANTA, GA"
02337410,"DOG RIVER AT GA 5, NEAR FAIRPLAY, GA"
02338840,"YELLOWJACKET CREEK-HAMMETT RD, BLW HOGANSVILLE, GA"
02344620,"SHOAL CREEK AT GA54, NEAR SHARPSBURG, GA"
021473426,"TOOLS FORK CREEK NEAR ROCK HILL, SC"
021473428,"WILDCAT CREEK BELOW ROCK HILL, SC"
0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC"
0208732885,"MARSH CREEK NEAR NEW HOPE, NC"
0209722970,"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC"
0209734440,"BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC"
0212393300,"W. BR ROCKY R B MTH OF S PRONG R NR CORNELIUS, NC"
0212430653,"MCKEE CREEK AT SR2804 NR WILGROVE, NC"
0212466000,"CLEAR CREEK AT SR3181 NR MINT HILL, NC"
0212467595,"GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC"
0214265808,"TORRENCE CR AT BRADFORD HILL LN NR HUNTERSVLLE, NC"
0214627970,"STEWART CREEK AT STATE ST AT CHARLOTTE, NC"
0214642825,"BRIAR CREEK NEAR CHARLOTTE, NC"
0214655255,"MCALPINE CREEK AT SR3150 NR IDLEWILD, NC"
0214657975,"IRVINS CREEK AT SR3168 NR CHARLOTTE, NC"