"Correlated variables, defined as R2>0.9",
AgricultureTotal2011,DevelopedLow2011
AgricultureTotal2011,DevelopedMed2011
AgricultureTotal2011,HousDensityBLK2010
AgricultureTotal2011,Imperviousness2011
AgricultureTotal2011,PopDensityBLK2010
AgricultureTotal2011,RoadDensity2014
AgricultureTotal2011,UrbanLMH2011
AgricultureTotal2011,UrbanTotal2011
Canopy2011,DevelopedMed2011
Canopy2011,Imperviousness2011
DeciduousForest2011,DevelopedHigh2011
DeciduousForest2011,DevelopedLow2011
DeciduousForest2011,ForestTotal2011
DeciduousForest2011,Imperviousness2011
DeciduousForest2011,UrbanLMH2011
DeciduousForest2011,UrbanTotal2011
DevelopedHigh2011,DevelopedLow2011
DevelopedHigh2011,HousDensityBLK2010
DevelopedHigh2011,UrbanTotal2011
DevelopedLow2011,UrbanTotal2011
DevelopedMed2011,DevelopedHigh2011
DevelopedMed2011,DevelopedLow2011
DevelopedMed2011,HousDensityBLK2010
DevelopedMed2011,PopDensityBLK2010
DevelopedMed2011,RoadDensity2014
DevelopedMed2011,UrbanTotal2011
fall_sum,totalppt_2004_2018_cm
fall_sum,winter_sum
fall_sum,WWTP.SEWER_DESIGNFLOW_MGD
ForestTotal2011,DevelopedHigh2011
ForestTotal2011,DevelopedLow2011
ForestTotal2011,DevelopedMed2011
ForestTotal2011,HousDensityBLK2010
ForestTotal2011,Imperviousness2011
ForestTotal2011,UrbanLMH2011
ForestTotal2011,UrbanTotal2011
GrasslandHerb2011,AgricultureTotal2011
GrasslandHerb2011,HousDensityBLK2010
GrasslandHerb2011,PopDensityBLK2010
HousDensityBLK2010,DevelopedLow2011
HousDensityBLK2010,UrbanTotal2011
Imperviousness2011,DevelopedHigh2011
Imperviousness2011,DevelopedLow2011
Imperviousness2011,DevelopedMed2011
Imperviousness2011,HousDensityBLK2010
Imperviousness2011,PopDensityBLK2010
Imperviousness2011,RoadDensity2014
Imperviousness2011,UrbanTotal2011
NatWetlandsInvTotal,WetlandsTotal2011
NatWetlandsInvTotal,WoodyWetlands2011
PastureHay2011,AgricultureTotal2011
PastureHay2011,PopDensityBLK2010
PastureHay2011,UrbanTotal2011
PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D
Permeability,SandContent
PopDensityBLK2010,DevelopedLow2011
PopDensityBLK2010,HousDensityBLK2010
PopDensityBLK2010,UrbanTotal2011
r50_DeciduousForest2011,r50_ForestTotal2011
r50_DevelopedLow2011,r50_Imperviousness2011
r50_DevelopedLow2011,r50_UrbanLMH2011
r50_DevelopedOpen2011,r50_UrbanTotal2011
r50_UrbanLMH2011,r50_Imperviousness2011
r50_UrbanTotal2011,r50_Imperviousness2011
r50_UrbanTotal2011,r50_UrbanLMH2011
RoadDensity2014,DevelopedLow2011
RoadDensity2014,HousDensityBLK2010
RoadDensity2014,PopDensityBLK2010
RoadDensity2014,UrbanTotal2011
ShrubScrub2011,UrbanTotal2011
totalppt_2004_2018_cm,winter_sum
UrbanLMH2011,DevelopedHigh2011
UrbanLMH2011,DevelopedLow2011
UrbanLMH2011,DevelopedMed2011
UrbanLMH2011,HousDensityBLK2010
UrbanLMH2011,Imperviousness2011
UrbanLMH2011,PopDensityBLK2010
UrbanLMH2011,RoadDensity2014
UrbanLMH2011,UrbanTotal2011
WoodyWetlands2011,WetlandsTotal2011
WWTP.SEWER_DESIGNFLOW_MGD,winter_sum