USGS Station No.,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D
1645704,307.0364706,1745.1324,14.2258,11.3636,18.1818,11.3636,18.9394,85.0152,0.303,25.944,14.3697,17.7661,5.376,28.9419,2.3275,0.7843,0.1708,1.6444,37.5119,32.6229,1.676,44.327,22.6829,1375.8641,661.6408,10.8649,2.5034,6.2027,29.8197,16.2,7.6,36.9,2.3,10
1645762,301.2176471,1717.802,7.0145,24.0506,50.6329,26.5823,50.6329,66.2658,1.5443,36.3974,6.6538,0.6282,0.0128,47.2051,2.3462,0.6795,0.0769,3.7821,7.2949,51.2564,3.7821,60.0748,4.7144,580.6986,188.5645,8.2533,2.296,6.7791,30.0116,17.4,10.7,59.3,0,10.7
1646000,312.2994118,1737.5378,149.7681,7.0248,46.6942,8.2645,50.8264,76.9091,0.6157,32.4242,12.7989,6.8084,1.5502,35.3913,2.1096,0.9169,0.0613,4.295,21.1575,38.9003,4.3076,52.6665,11.8351,841.7639,345.5598,8.9289,2.3716,6.8851,30.6344,20.7,9.2,50.9,0.5,9.9
1654000,319.3270588,1799.8186,61.7786,5.9701,12.9353,5.9701,12.9353,75.4776,0.0746,31.0803,24.6329,14.1883,4.3512,20.9212,0.4035,0.1617,0.0073,2.676,43.1724,22.7071,2.676,42.76,23.3744,1778.9631,667.127,13.0016,1.1709,5.5077,34.2378,10,8,52.4,0.1,8.1
2085000,326.7164706,1773.2502,170.9909,19.2623,48.7705,20.082,59.4262,82.291,1.0246,8.6426,2.5905,0.9168,0.3047,45.6458,6.7237,2.4521,3.7279,0.7,3.8121,54.9195,0.7079,67.1066,2.2116,72.2715,32.3719,3.5262,1.6925,4.8819,24.8215,71.1,4.8,7.6,13.6,19.1
208524090,337.7229412,1802.3078,20.5979,3.4247,85.6164,3.4247,93.1507,89.9315,0.0342,6.867,2.2366,0.2883,0,42.22,6.5394,1.7342,3.9009,0.2665,2.5249,52.2191,0.2665,64.9889,1.336,53.5269,22.6831,3.0392,1.3619,6.2825,23.649,77.5,10.5,4.2,5,17.8
2085500,336.07,1786.15,376.86,1.37,57.19,1.37,73.97,94.75,0.1,4.9,1.56,0.48,0.23,45.43,4.61,3.77,6.27,0.74,2.27,53.12,0.76,64.6,1.33,46.93,20.58,3.1,1.65,4.96,25.49,52.4,6.1,8.8,25.4,36.7
2086849,344.0194118,1793.0368,57.2252,0,21.2871,0,25.7426,97.802,0,35.2716,22.0049,12.556,4.9532,8.5431,5.1907,1.8461,1.975,3.6953,39.5141,15.2764,3.7204,53.0657,21.9538,872.507,375.0146,9.9289,1.4556,4.8367,19.8528,11.9,5.8,1.4,60,76.1
208732885,335.0723529,1699.3108,17.7687,43.5714,36.4286,62.8571,36.4286,63.6214,12.4929,41.7245,21.1584,24.2216,7.2958,2.1417,1.7721,0.0506,0.3899,0,52.6758,4.4707,0,36.6954,31.7828,1224.3053,551.1551,9.1143,1.4125,4.097,30.9242,7.2,4.4,0.5,6,10.4
2087580,345.1423529,1781.3782,54.8148,32.4607,24.0838,33.5079,24.0838,81.2932,1.178,47.1149,20.0877,8.951,2.0855,10.1563,5.3696,0.2496,1.1889,0.6486,31.1242,16.6639,0.6486,55.9854,17.2416,828.5339,363.1195,8.9072,1.4453,5.7525,27.752,22.1,10.8,11.4,1.9,21.9
2088000,373.9076471,1842.0842,216.0311,1.8939,11.3636,4.5455,14.3939,92.2273,0.8788,18.6084,9.988,2.6521,0.6678,15.9371,10.5867,2.1563,9.6602,5.8662,13.308,32.9199,6.334,55.0965,6.7384,348.7957,127.1056,5.3835,1.7951,4.809,46.8971,16.8,7.1,16,12.1,29.9
2093800,342.4488235,1671.8788,53.3976,4.0816,33.6735,4.0816,35.2041,79.4031,0.1582,14.2881,7.6261,2.0864,0.8427,36.5731,3.5392,1.505,3.2813,1.9567,10.5551,40.6296,1.9685,53.9253,5.5504,168.8464,65.4499,4.5505,1.8287,6.9615,29.047,63.2,7.3,3.6,2.3,9.7
2094659,325.8088235,1657.5024,18.9199,55.2632,0,100,0,55.0263,21.4276,27.1919,30.5076,21.9923,17.6823,1.8743,0.4091,0.0285,0.1427,0,70.1822,2.2834,0,33.2479,42.7109,1077.1427,549.8606,8.0091,1.2936,4.4517,26.9451,39.7,5,40.6,0.2,5.8
2095181,313.4164706,1637.2078,24.7287,75.4839,0,100,0,42.8581,16.6258,43.7097,36.406,10.9174,7.3802,1.1754,0.0619,0,0,0.0218,54.7036,1.321,0.0218,46.7347,28.5398,915.3334,441.1365,11.2,1.4214,4.6636,27.2645,60.5,2.3,25.3,0,2.3
209722970,347.2635294,1843.6844,12.1356,49.5798,27.7311,55.4622,42.0168,79.2941,3.3277,38.145,19.4321,16.7853,5.3084,8.3704,8.3852,0.0445,0.1483,0.2076,41.5258,19.8028,0.2076,53.5896,23.8898,1188.7701,475.3025,8.807,1.3914,6.5781,20.1195,21.3,2.7,0.1,61.1,70
2097280,347.8882353,1760.8804,38.1182,4.7059,5.2941,6.4706,7.0588,91.7294,0.7353,48.8526,23.9742,10.6544,2.7929,4.7287,2.8708,0.0212,0.7153,3.8529,37.4215,8.7067,3.8529,55.2411,19.7796,1036.8648,462.9138,9.9208,1.5341,6.2115,19.9825,13.2,6.2,1.2,65.2,76.9
209734440,353.0205882,1827.0728,20.8103,25,61.1842,25,75,93.4145,0.9605,21.221,10.1263,1.803,0.441,31.3516,21.7096,0.6226,3.7011,0.6399,12.3703,55.7593,0.6399,76.4796,6.185,476.9945,185.577,5.8896,1.1522,5.4991,26.3084,55.5,2.8,18.8,13.1,25.1
2097517,358.2123529,1801.622,106.0439,12.6087,56.5217,23.4783,59.5652,79.3217,5.0565,12.1115,4.6722,2.5703,0.6203,41.6922,16.6275,0.6576,3.5894,0.146,7.8627,63.2702,0.1816,75.2298,4.4581,330.344,135.1844,5.2934,1.6119,7.4286,30.0004,63.4,2.8,6.5,11.2,15
212393300,308.3447059,1681.0736,53.5941,26.5306,14.7959,26.5306,14.7959,84.1429,1.3673,15.1261,6.6131,1.8882,0.423,35.3699,8.2949,1.6617,7.2005,1.6986,8.9243,44.4603,1.7439,61.0304,4.7873,225.3245,80.8319,4.4939,3.2277,6.8265,29.7668,61.7,11.6,19.8,5.8,17.8
212430653,354.9523529,1779.7526,14.8986,57.6923,0.7692,71.5385,0.7692,81.9077,7.1923,29.6287,13.6674,1.9559,0.1026,30.0996,9.5261,0.3924,4.1232,1.0685,15.7259,40.1207,1.1047,62.4977,7.6796,511.4173,183.4853,7.1917,3.7251,6.1573,29.047,80.9,8.1,4.2,5.3,13.9
212466000,336.91,1708.0992,29.2363,1.2048,48.1928,1.2048,50.6024,50.7048,0.1205,18.6165,5.0895,0.9785,0.3323,32.2635,15.204,0.5631,6.3296,1.9386,6.4004,48.9476,2.0032,63.1059,3.8041,189.864,73.7829,5.9322,3.7917,5.9691,28.5177,82.1,8.4,5.6,3.3,11.9
212467595,340.6641176,1732.5848,28.5797,3.1056,93.1677,3.1056,96.2733,93.7391,0.1304,27.4049,9.8558,1.4763,0.2172,30.4143,11.776,0.6894,1.3315,1.2843,11.5494,43.7893,1.2843,60.5729,6.0188,364.2132,131.562,6.174,3.6224,4.4919,23.145,72.8,5.5,11.9,9,14.4
214265808,309.1382353,1672.7678,18.7044,27.9412,30.1471,30.1471,31.6177,66.4412,2.5735,31.1337,21.3169,9.2684,2.0345,17.3729,4.0498,1.8037,4.526,1.188,32.6199,21.668,1.188,50.5106,17.2057,547.9112,235.6974,8.1866,2.8566,4.6252,26.6156,53,8.9,23.9,0.1,21.9
2146110,288.3476471,1610.9188,18.1961,72.5352,3.5211,96.4789,3.5211,75.8451,10.3592,57.9619,26.327,8.9355,3.588,1.6556,0.7611,0,0,0.2817,38.8504,2.7874,0.2817,58.2973,21.431,1046.203,514.4503,8.5855,3.7832,4.1403,27.2812,4,0.8,0.9,1.7,2.4
214627970,339.8841176,1698.3202,23.4799,66.0377,1.2579,97.4843,2.5157,58.566,18.6667,23.6838,34.4777,15.1161,10.0659,6.1461,1.958,0.2759,1.5787,0.1035,59.6598,8.2343,0.1035,39.3386,32.2517,796.5446,338.5265,9.4897,3.1655,5.3846,29.0307,61.1,4,13.3,1.2,5.1
2146409,341.4988235,1700.5808,31.3452,1.8519,0,100,0,14.9814,68.3704,19.5246,31.0281,23.8911,23.3428,1.6163,0.1837,0.0316,0.1522,0.1321,78.262,1.8,0.1321,33.9784,48.8356,1121.8905,573.6934,12.0755,3.1645,3.6273,27.3352,49.2,3.5,4.7,6.5,10
214642825,362.7394118,1786.9154,13.202,69.7674,7.7519,84.4961,7.7519,73.1473,8.8295,46.2251,34.3077,10.5342,4.5653,3.0117,0.586,0,0.5519,0.2112,49.4072,3.5977,0.2112,52.2922,25.3064,1493.8156,598.2551,8.4295,3.8068,3.5468,27.7955,53.2,3.9,8,30.7,34.6
2146470,339.5752941,1702.9176,6.7791,60.2041,0,100,0,73.3878,16.2449,32.6742,45.6536,11.2276,10.4446,0,0,0,0,0,67.3258,0,0,49.0313,33.6226,1486.7285,793.2552,9.8039,3.1725,4.3005,27.2645,73.3,2.9,8.6,0,2.9
214655255,341.2035294,1761.1598,18.9283,48.6111,26.3889,56.9444,26.3889,83.25,4.3472,48.0409,30.7133,5.9629,2.0827,8.1265,2.135,0,1.2126,0.4232,38.7589,10.5326,0.4232,54.6616,18.7712,1253.8191,513.3513,9.3077,3.3733,4.1649,29.0208,66.4,5.1,12.4,14.4,20.1
2146562,347.7711765,1774.825,14.7483,80.8824,0,92.6471,0,76.9044,7.9706,45.2087,29.5349,12.8479,6.6711,4.0833,0.6897,0,0.0732,0.6592,49.054,4.7729,0.6592,51.6038,27.0519,1764.1195,784.4195,9.032,3.9845,3.5609,28.2253,64.2,5.2,10.1,15.2,20.4
214657975,336.9841176,1761.1598,21.6176,18.9543,28.1046,20.915,33.3333,85.0262,1.3595,46.0417,12.2226,2.4945,0.5789,19.1854,9.7197,0.2499,1.0744,1.4575,15.2959,30.4752,1.4575,62.5169,8.8642,539.2777,220.4894,6.6101,3.435,4.4196,29.047,83.1,6,6.4,3.6,9.9
2146700,333.2835294,1662.1506,15.0818,54.1353,27.0677,69.1729,30.8271,74.9549,7.5489,36.343,32.1629,11.9551,5.876,9.029,2.7589,0.0179,0.9256,0.1254,49.994,12.0924,0.1254,45.2031,26.0094,593.9291,282.6544,12.8045,2.5331,4.0784,28.1162,57.9,4.6,16,17.5,22.1
21473426,280.0235294,1646.5804,25.0315,8.642,70.3704,8.642,78.3951,92.8457,0.2037,16.0476,4.207,1.014,0.7515,27.2554,10.1543,0.7587,3.2829,0.7299,5.9725,39.8907,0.8234,51.2951,3.7867,188.5451,71.2511,5.2542,5.7986,4.2039,30.4983,69,6.4,7,16.4,22.9
21473428,278.1152941,1625.3968,76.6617,6.1611,65.4029,9.9526,68.7204,75.0474,2.3981,24.7676,13.8846,5.0066,2.1095,24.2804,7.4823,0.4672,3.585,0.6762,21.0006,33.6937,0.7219,53.4801,11.337,436.1823,174.4913,7.513,4.7104,4.1594,29.6928,41.5,6,8,12.1,18.1
2160326,337.8476471,1844.3702,219.2995,13.2076,55.8491,32.0755,56.2264,67.8038,9.9887,23.779,15.1917,5.827,2.7128,28.1203,6.1816,0.6452,5.7966,2.3956,23.7314,34.5317,2.4419,52.9293,12.3574,431.3771,183.6096,6.9098,1.4556,8.1638,31.506,87.9,1.2,0.9,1.9,9.7
2160381,282.2447059,1749.679,33.3605,4.7337,41.4201,4.7337,43.787,83.5799,0.2604,24.5123,13.9696,4.5117,1.2629,24.1615,5.162,0.7771,4.0233,1.4517,19.7442,29.7283,1.4652,46.3653,9.8689,352.5231,137.0646,6.8306,1.5099,5.4254,29.4554,87.9,1.5,0.3,2.4,9.6
2164000,344.4705882,1896.0846,125.4681,40.3434,23.6052,60.515,23.6052,61.8884,12.4077,30.0763,21.9378,10.3953,6.0417,17.7074,4.084,0.3974,3.1026,1.8508,38.3747,21.9743,1.8874,46.8159,20.9817,711.8797,319.4959,10.2678,2.9572,7.2788,31.2349,88.3,3.3,0,1.3,8.4
2165200,273.1717647,1706.0926,77.0087,0,51.6432,0,53.9906,77.108,0,10.4229,4.3237,2.3494,1.2694,34.3744,7.6269,1.3395,6.6474,2.0151,7.9425,42.5472,2.0526,55.4825,4.6624,93.2881,37.1172,3.2686,3.1579,5.733,32.5914,83.4,2.6,2.6,4.6,13.5
2186000,354.3364706,2052.0406,270.1917,1.087,74.6377,2.8986,74.6377,82.4529,0.7246,11.8039,2.6474,0.7181,0.3457,42.6996,9.2521,1.7017,10.9482,0.4104,3.7112,52.6672,0.4247,63.8914,2.1426,80.2513,35.9249,4.26,3.1819,11.7317,33.9539,86.8,2.8,0,4.3,7.5
2203831,340.8205882,1957.7558,10.7557,34.4262,42.623,44.2623,55.7377,80.5492,5.8689,43.5702,27.4582,5.7023,3.3528,6.7726,10.0753,0.9783,0.3177,0,36.5134,17.4248,0,56.0189,18.4586,1070.7496,482.9654,9.9592,0.9847,6.7439,34.2612,84.1,0,0.1,0,1
2203863,339.4247059,1952.9044,22.3358,12.2581,6.4516,16.129,42.5806,93.529,2.2516,39.8783,26.5022,8.2658,4.3848,6.7303,11.6955,0.1169,0.1169,0.5562,39.1529,19.5341,0.5562,57.1731,20.5905,1279.0126,589.5231,9.6806,1.2376,7.0167,34.2795,72.8,0.2,0.1,0,0.2
2204037,322.4564706,1925.0406,41.5318,6.5934,45.055,7.1429,67.033,92.7473,0.9121,24.5768,25.7473,11.8484,3.9256,11.4582,15.826,1.2312,1.4762,1.6994,41.5213,27.5573,1.7406,51.5422,21.4826,1013.4059,449.0184,7.6119,0.6854,5.9831,47.0546,74.2,0.6,0.6,1,10.8
2204130,302.3235294,1886.2802,66.8335,2.4272,14.0777,2.4272,30.0971,96.8107,0.0388,17.7274,12.1387,3.102,1.827,19.969,25.3275,2.1367,4.4429,2.6523,17.0677,45.9374,2.6914,60.3852,8.9466,331.1546,143.9649,4.5455,1.2374,5.9581,40.5403,85.7,0.3,0.7,0.4,8.1
2207435,306.9188235,1843.4812,66.8165,7.9602,15.4229,7.9602,30.8458,96.1542,0.5274,11.5937,8.1188,1.7523,0.7691,16.868,21.8958,4.3153,9.9034,2.6142,10.6402,39.809,2.6142,55.9609,5.3382,182.3486,68.1283,3.2086,1.775,7.3723,44.8969,67.1,6,0.2,0.5,8.1
2335580,322.9894118,1955.5714,96.5858,2.2831,18.2648,2.7397,25.5708,74.5617,0.3699,21.8707,15.5148,5.2461,1.859,26.7851,8.938,0.7231,2.0575,2.1628,22.6199,36.6242,2.2093,52.1295,11.7232,417.4689,152.3864,5.1657,1.6559,7.6928,34.7925,91.7,5.1,0.4,0.8,6
2335870,326.3211765,1907.8448,79.5973,17.8899,30.2752,26.1468,66.5138,77.1927,4.1101,38.1852,25.8277,8.5697,4.8881,8.4249,11.8046,0.0938,0.2137,0.5066,39.2854,20.5925,0.5066,52.2972,21.413,902.4933,371.9017,10.6739,1.0277,6.8804,34.2615,70.4,0.4,0.7,9,14
2335910,333.5476471,1905.635,47.9663,23.6842,30,65.7895,31.579,63.8158,21.7684,24.1571,26.5962,22.2358,16.0347,3.7957,5.3943,0.197,0.4597,0.4916,64.8667,9.3307,0.4916,35.5912,40.1267,1177.1014,605.426,12.6219,0.7644,5.3785,34.906,53.8,0.2,0.2,2.9,7.7
2336120,370.3776471,2027.3772,88.3942,43.5185,8.3333,88.4259,8.3333,57.2593,27.5509,30.6061,23.6258,15.7668,12.7501,6.3155,9.095,0.0407,0.0774,0.8685,52.1427,15.7322,0.899,47.3339,32.2276,1449.7849,609.9907,10.1116,0.9608,6.9321,34.2783,66.9,1.4,0.4,0.2,4.3
2336152,344.4858824,1957.0192,14.6924,30.8271,26.3158,39.8496,60.1504,78.4286,5.0602,27.7876,27.3162,14.0469,10.1096,4.7456,15.0389,0,0.0796,0.3552,51.4727,19.9008,0.3552,47.0147,29.3999,1299.7388,594.3958,10.6035,0.9033,5.0004,34.2612,65.5,0,0.6,0,4.8
2336410,346.3629412,1955.927,96.5177,18.1416,38.0531,28.3186,66.3717,77.0929,5.3894,32.5472,20.5797,13.0521,8.5655,11.2718,11.837,0.0233,0.1296,0.318,42.1973,23.7905,0.3255,54.581,25.5838,1046.2732,527.2464,8.9125,1.0444,7.6174,34.3472,45.3,0.5,0.8,0,4.2
2336526,344.6417647,1960.2196,34.7661,18.1818,57.9545,23.2955,69.8864,82.2784,3.0568,23.7028,29.5158,18.0735,12.1258,7.3485,5.5671,0.6499,1.0435,0.057,59.7152,13.2289,0.057,45.4869,34.5464,1342.7668,712.0635,12.5055,1.4949,7.8704,36.2703,0.5,0.1,1.4,0,3.6
2337410,323.4535294,1959.7116,170.6413,0.7692,59.6154,1.9231,95.7692,73.7462,0.35,10.3307,5.9456,1.2456,0.4082,33.6837,22.899,3.6879,4.6113,1.0052,7.5994,56.8917,1.0495,67.6166,3.7303,136.5584,53.7581,3.3745,3.1537,8.6095,36.0379,75.2,7.9,3.6,11.2,19.1
2338840,289.9452941,1875.6376,232.9793,0,18.251,0,24.7148,75.1483,0,4.9237,2.2394,0.2766,0.0757,23.7936,31.5524,7.7043,7.3628,4.7422,2.5917,56.7675,4.9292,72.714,1.3158,36.9451,15.9471,2.2675,2.8433,5.9915,34.3776,88.9,4.7,0.6,3.6,8.6
2344620,320.3076471,1912.7724,62.1303,18.5714,29.5238,18.5714,40.9524,70.3714,1.1762,15.0218,9.707,1.7151,1.2183,18.8924,27.2392,2.3829,4.1314,4.3342,12.6403,46.5995,4.3646,63.3796,6.457,208.7194,76.0122,3.8878,1.53,5.0337,34.3396,96.1,0,1.2,1.3,1.3